transaction_id,date,year,month,district,region,category,product,customer_id,units,revenue,orders
T2024010000020,2024-01-24,2024,1,Kandy,Central,Home,Air Purifier,C01702,7,115582.52,1
T2024010000021,2024-01-09,2024,1,Puttalam,North Western,Electronics,Power Hub,C02353,7,258765.71,1
T2024010000022,2024-01-13,2024,1,Ratnapura,Sabaragamuwa,Outdoor,Cooler Box,C03554,16,225115.33,1
T2024010000023,2024-01-03,2024,1,Monaragala,Uva,Lifestyle,Travel Kit,C02841,5,49433.13,1
T2024010000024,2024-01-03,2024,1,Mullaitivu,Northern,Electronics,Smart Display,C02876,13,547794.58,1
T2024010000025,2024-01-18,2024,1,Jaffna,Northern,Home,Storage Set,C02756,3,56462.82,1
T2024010000026,2024-01-07,2024,1,Vavuniya,Northern,Home,Storage Set,C04335,3,56256.29,1
T2024010000027,2024-01-02,2024,1,Matara,Southern,Lifestyle,Fitness Band,C01807,6,57309.22,1
T2024010000028,2024-01-14,2024,1,Kandy,Central,Electronics,Power Hub,C02149,4,146259.61,1
T2024010000029,2024-01-21,2024,1,Matara,Southern,Outdoor,Camping Light,C01415,17,261659.75,1
T2024010000030,2024-01-16,2024,1,Ratnapura,Sabaragamuwa,Outdoor,Cooler Box,C04330,7,108368.17,1
T2024010000031,2024-01-30,2024,1,Gampaha,Western,Electronics,Power Hub,C03173,11,392907.76,1
T2024010000032,2024-01-07,2024,1,Trincomalee,Eastern,Office,Document Scanner,C02269,5,140809.18,1
T2024010000033,2024-01-02,2024,1,Kurunegala,North Western,Electronics,Wireless Router,C01469,8,271494.86,1
T2024010000034,2024-01-03,2024,1,Gampaha,Western,Accessories,USB Cable,C02523,8,35562.34,1
T2024010000035,2024-01-20,2024,1,Galle,Southern,Accessories,Phone Stand,C01326,3,12109.26,1
T2024010000036,2024-01-08,2024,1,Jaffna,Northern,Accessories,Phone Stand,C03574,5,18919.52,1
T2024010000037,2024-01-15,2024,1,Matara,Southern,Accessories,USB Cable,C01077,8,34401.65,1
T2024010000038,2024-01-30,2024,1,Colombo,Western,Electronics,Wireless Router,C02086,6,202298.26,1
T2024010000039,2024-01-22,2024,1,Galle,Southern,Electronics,Wireless Router,C01065,11,387794.13,1
T2024010000040,2024-01-24,2024,1,Ratnapura,Sabaragamuwa,Electronics,Smart Display,C01877,8,273344.32,1
T2024010000041,2024-01-09,2024,1,Kalutara,Western,Home,Coffee Maker,C05003,13,261217.35,1
T2024010000042,2024-01-11,2024,1,Batticaloa,Eastern,Outdoor,Camping Light,C01030,10,143272.32,1
T2024010000043,2024-01-04,2024,1,Gampaha,Western,Lifestyle,Desk Organizer,C01080,3,32474.35,1
T2024010000044,2024-01-05,2024,1,Kilinochchi,Northern,Outdoor,Cooler Box,C04521,2,27838.34,1
T2024010000045,2024-01-12,2024,1,Monaragala,Uva,Electronics,Sound Bar,C01843,11,417473.34,1
T2024010000046,2024-01-26,2024,1,Kegalle,Sabaragamuwa,Outdoor,Cooler Box,C02332,11,170868.99,1
T2024010000047,2024-01-09,2024,1,Kalutara,Western,Accessories,Mouse Pad,C03033,4,16826.33,1
T2024010000048,2024-01-27,2024,1,Badulla,Uva,Outdoor,Cooler Box,C02635,13,176733.52,1
T2024010000049,2024-01-09,2024,1,Kandy,Central,Office,Document Scanner,C03690,12,356180.26,1
T2024010000050,2024-01-04,2024,1,Nuwara Eliya,Central,Lifestyle,Water Bottle,C01227,12,103590.31,1
T2024010000051,2024-01-12,2024,1,Kegalle,Sabaragamuwa,Home,Air Purifier,C04560,10,174820.85,1
T2024010000052,2024-01-02,2024,1,Kegalle,Sabaragamuwa,Electronics,Sound Bar,C03087,9,272110.45,1
T2024010000053,2024-01-14,2024,1,Trincomalee,Eastern,Accessories,Phone Stand,C03984,3,12785.83,1
T2024010000054,2024-01-17,2024,1,Batticaloa,Eastern,Office,Laser Printer,C03461,5,129298.69,1
T2024010000055,2024-01-22,2024,1,Trincomalee,Eastern,Lifestyle,Travel Kit,C04445,14,141045.68,1
T2024010000056,2024-01-10,2024,1,Batticaloa,Eastern,Home,Air Purifier,C03490,4,77423.23,1
T2024010000057,2024-01-17,2024,1,Ampara,Eastern,Lifestyle,Desk Organizer,C02751,7,73833.81,1
T2024010000058,2024-01-27,2024,1,Ampara,Eastern,Home,Coffee Maker,C01766,14,239088.33,1
T2024010000059,2024-01-08,2024,1,Kandy,Central,Electronics,Smart Display,C01379,16,640384.67,1
T2024010000060,2024-01-16,2024,1,Matara,Southern,Accessories,Phone Stand,C04146,6,23498.14,1
T2024010000061,2024-01-08,2024,1,Badulla,Uva,Outdoor,Camping Light,C04483,4,58043.48,1
T2024010000062,2024-01-05,2024,1,Hambantota,Southern,Lifestyle,Fitness Band,C04740,11,103824.09,1
T2024010000063,2024-01-27,2024,1,Mullaitivu,Northern,Accessories,Mouse Pad,C04496,13,53406.39,1
T2024010000064,2024-01-27,2024,1,Kurunegala,North Western,Lifestyle,Water Bottle,C03026,9,86700.66,1
T2024010000065,2024-01-23,2024,1,Hambantota,Southern,Home,Storage Set,C01635,5,86116.02,1
T2024010000066,2024-01-13,2024,1,Badulla,Uva,Electronics,Sound Bar,C02895,9,346702.91,1
T2024010000067,2024-01-02,2024,1,Matara,Southern,Home,Storage Set,C04407,4,67564.74,1
T2024010000068,2024-01-01,2024,1,Ratnapura,Sabaragamuwa,Electronics,Power Hub,C04908,14,468796.53,1
T2024010000069,2024-01-16,2024,1,Polonnaruwa,North Central,Accessories,Mouse Pad,C02807,4,16730.85,1
T2024010000070,2024-01-27,2024,1,Galle,Southern,Office,Document Scanner,C02353,7,164362.63,1
T2024010000071,2024-01-21,2024,1,Kilinochchi,Northern,Accessories,USB Cable,C01688,6,26936.11,1
T2024010000072,2024-01-11,2024,1,Colombo,Western,Home,LED Lamp,C04725,5,101059.64,1
T2024010000073,2024-01-16,2024,1,Kurunegala,North Western,Outdoor,Foldable Chair,C01671,2,28062.38,1
T2024010000074,2024-01-31,2024,1,Kandy,Central,Electronics,Smart Display,C01255,5,193036.0,1
T2024010000075,2024-01-15,2024,1,Gampaha,Western,Electronics,Smart Display,C02786,9,375636.25,1
T2024010000076,2024-01-31,2024,1,Batticaloa,Eastern,Accessories,USB Cable,C02342,5,20926.32,1
T2024010000077,2024-01-31,2024,1,Vavuniya,Northern,Accessories,Mouse Pad,C04250,10,37732.16,1
T2024010000078,2024-01-12,2024,1,Gampaha,Western,Outdoor,Camping Light,C01337,7,107043.93,1
T2024010000079,2024-01-04,2024,1,Jaffna,Northern,Home,Storage Set,C05016,6,103307.4,1
T2024010000080,2024-01-15,2024,1,Kurunegala,North Western,Lifestyle,Water Bottle,C04961,6,60505.26,1
T2024010000081,2024-01-29,2024,1,Nuwara Eliya,Central,Home,Air Purifier,C03285,6,115294.61,1
T2024010000082,2024-01-28,2024,1,Batticaloa,Eastern,Home,Air Purifier,C05050,5,95799.08,1
T2024010000083,2024-01-17,2024,1,Puttalam,North Western,Home,Coffee Maker,C01084,14,226079.32,1
T2024010000084,2024-01-15,2024,1,Hambantota,Southern,Outdoor,Portable Fan,C05021,11,140902.13,1
T2024010000085,2024-01-18,2024,1,Galle,Southern,Home,Coffee Maker,C04877,7,118378.8,1
T2024010000086,2024-01-09,2024,1,Nuwara Eliya,Central,Office,Monitor Stand,C03512,4,112961.43,1
T2024010000087,2024-01-07,2024,1,Gampaha,Western,Lifestyle,Travel Kit,C02570,10,89227.28,1
T2024010000088,2024-01-27,2024,1,Kegalle,Sabaragamuwa,Lifestyle,Water Bottle,C01824,4,36496.98,1
T2024010000089,2024-01-02,2024,1,Matale,Central,Office,Office Chair,C03248,15,413037.98,1
T2024010000090,2024-01-19,2024,1,Ampara,Eastern,Outdoor,Camping Light,C01101,5,69236.19,1
T2024010000091,2024-01-27,2024,1,Kalutara,Western,Electronics,Power Hub,C01935,3,101564.48,1
T2024010000092,2024-01-03,2024,1,Batticaloa,Eastern,Electronics,Sound Bar,C03490,16,513777.72,1
T2024010000093,2024-01-15,2024,1,Batticaloa,Eastern,Outdoor,Cooler Box,C04117,13,163958.82,1
T2024010000094,2024-01-31,2024,1,Kegalle,Sabaragamuwa,Home,Air Purifier,C01813,10,197371.69,1
T2024010000095,2024-01-06,2024,1,Ampara,Eastern,Electronics,Sound Bar,C01615,1,33550.14,1
T2024010000096,2024-01-23,2024,1,Hambantota,Southern,Electronics,Wireless Router,C03317,12,393037.7,1
T2024010000097,2024-01-04,2024,1,Ratnapura,Sabaragamuwa,Outdoor,Cooler Box,C04483,7,100513.8,1
T2024010000098,2024-01-20,2024,1,Anuradhapura,North Central,Electronics,Sound Bar,C03520,10,362981.11,1
T2024010000099,2024-01-31,2024,1,Matara,Southern,Lifestyle,Water Bottle,C04298,5,47424.95,1
T2024010000100,2024-01-20,2024,1,Colombo,Western,Electronics,Power Hub,C03641,5,159117.94,1
T2024010000101,2024-01-25,2024,1,Mullaitivu,Northern,Electronics,Wireless Router,C01330,10,347967.16,1
T2024010000102,2024-01-03,2024,1,Monaragala,Uva,Electronics,Power Hub,C05029,7,245316.15,1
T2024010000103,2024-01-23,2024,1,Trincomalee,Eastern,Outdoor,Foldable Chair,C04373,7,98751.91,1
T2024010000104,2024-01-11,2024,1,Anuradhapura,North Central,Lifestyle,Desk Organizer,C01722,5,43082.15,1
T2024010000105,2024-01-14,2024,1,Polonnaruwa,North Central,Outdoor,Camping Light,C04785,2,26495.27,1
T2024010000106,2024-01-09,2024,1,Kurunegala,North Western,Office,Laser Printer,C02668,8,230754.39,1
T2024010000107,2024-01-23,2024,1,Badulla,Uva,Lifestyle,Fitness Band,C02961,4,36828.0,1
T2024010000108,2024-01-31,2024,1,Galle,Southern,Electronics,Smart Display,C04781,3,119426.5,1
T2024010000109,2024-01-27,2024,1,Ratnapura,Sabaragamuwa,Home,Coffee Maker,C04404,7,123503.36,1
T2024010000110,2024-01-09,2024,1,Mannar,Northern,Home,LED Lamp,C01572,10,195236.35,1
T2024010000111,2024-01-24,2024,1,Ratnapura,Sabaragamuwa,Lifestyle,Fitness Band,C03318,5,47905.83,1
T2024010000112,2024-01-11,2024,1,Polonnaruwa,North Central,Lifestyle,Desk Organizer,C03828,8,75936.43,1
T2024010000113,2024-01-08,2024,1,Ratnapura,Sabaragamuwa,Outdoor,Cooler Box,C04138,12,163696.36,1
T2024010000114,2024-01-22,2024,1,Kurunegala,North Western,Office,Document Scanner,C04163,11,309329.03,1
T2024010000115,2024-01-28,2024,1,Jaffna,Northern,Electronics,Wireless Router,C01823,12,383617.81,1
T2024010000116,2024-01-16,2024,1,Colombo,Western,Electronics,Sound Bar,C01613,11,364598.07,1
T2024010000117,2024-01-31,2024,1,Trincomalee,Eastern,Office,Monitor Stand,C04114,5,138216.64,1
T2024010000118,2024-01-21,2024,1,Badulla,Uva,Electronics,Smart Display,C02924,9,328695.93,1
T2024010000119,2024-01-15,2024,1,Kurunegala,North Western,Lifestyle,Fitness Band,C01824,4,37862.6,1
T2024010000120,2024-01-12,2024,1,Colombo,Western,Outdoor,Foldable Chair,C03937,6,79510.21,1
T2024010000121,2024-01-03,2024,1,Vavuniya,Northern,Outdoor,Cooler Box,C02435,8,109564.54,1
T2024010000122,2024-01-21,2024,1,Jaffna,Northern,Lifestyle,Travel Kit,C04778,5,46852.42,1
T2024010000123,2024-01-03,2024,1,Monaragala,Uva,Lifestyle,Water Bottle,C02295,6,52799.02,1
T2024010000124,2024-01-28,2024,1,Matale,Central,Accessories,Power Adapter,C04743,5,22341.25,1
T2024010000125,2024-01-23,2024,1,Gampaha,Western,Home,Coffee Maker,C03424,5,100933.42,1
T2024010000126,2024-01-27,2024,1,Kandy,Central,Lifestyle,Fitness Band,C05070,13,120227.82,1
T2024010000127,2024-01-22,2024,1,Batticaloa,Eastern,Home,LED Lamp,C03054,10,193781.34,1
T2024010000128,2024-01-26,2024,1,Batticaloa,Eastern,Accessories,USB Cable,C03531,6,25375.29,1
T2024010000129,2024-01-07,2024,1,Colombo,Western,Home,Storage Set,C02439,3,56485.29,1
T2024010000130,2024-01-30,2024,1,Kilinochchi,Northern,Accessories,Phone Stand,C03106,11,45083.18,1
T2024010000131,2024-01-31,2024,1,Kurunegala,North Western,Home,Air Purifier,C04837,3,61453.53,1
T2024010000132,2024-01-03,2024,1,Polonnaruwa,North Central,Office,Document Scanner,C03997,11,251322.18,1
T2024010000133,2024-01-27,2024,1,Gampaha,Western,Home,Coffee Maker,C04122,9,164993.58,1
T2024010000134,2024-01-21,2024,1,Hambantota,Southern,Office,Monitor Stand,C02814,3,86526.89,1
T2024010000135,2024-01-10,2024,1,Ampara,Eastern,Electronics,Smart Display,C01305,17,596584.51,1
T2024010000136,2024-01-22,2024,1,Badulla,Uva,Electronics,Power Hub,C04040,14,495142.83,1
T2024010000137,2024-01-21,2024,1,Matara,Southern,Office,Office Chair,C04399,3,78975.07,1
T2024010000138,2024-01-15,2024,1,Ratnapura,Sabaragamuwa,Home,Coffee Maker,C02780,6,102495.89,1
T2024010000139,2024-01-13,2024,1,Gampaha,Western,Office,Monitor Stand,C01497,5,149747.94,1
T2024010000140,2024-01-26,2024,1,Colombo,Western,Electronics,Smart Display,C01415,5,204859.97,1
T2024010000141,2024-01-27,2024,1,Kalutara,Western,Outdoor,Cooler Box,C02770,12,162363.5,1
T2024010000142,2024-01-05,2024,1,Puttalam,North Western,Office,Monitor Stand,C02186,7,207067.06,1
T2024010000143,2024-01-26,2024,1,Ampara,Eastern,Electronics,Smart Display,C03935,11,438165.18,1
T2024010000144,2024-01-24,2024,1,Kalutara,Western,Electronics,Power Hub,C01932,3,106068.48,1
T2024010000145,2024-01-24,2024,1,Jaffna,Northern,Electronics,Sound Bar,C01356,11,402895.99,1
T2024010000146,2024-01-16,2024,1,Matale,Central,Office,Laser Printer,C01499,12,327947.46,1
T2024010000147,2024-01-11,2024,1,Hambantota,Southern,Accessories,USB Cable,C01662,8,29803.76,1
T2024010000148,2024-01-20,2024,1,Batticaloa,Eastern,Lifestyle,Water Bottle,C04121,7,63100.48,1
T2024010000149,2024-01-14,2024,1,Matara,Southern,Outdoor,Camping Light,C02762,6,78534.0,1
T2024010000150,2024-01-14,2024,1,Anuradhapura,North Central,Home,Air Purifier,C03561,5,91868.36,1
T2024010000151,2024-01-03,2024,1,Trincomalee,Eastern,Lifestyle,Fitness Band,C01700,6,60675.44,1
T2024010000152,2024-01-14,2024,1,Anuradhapura,North Central,Lifestyle,Water Bottle,C02002,6,58450.5,1
T2024010000153,2024-01-12,2024,1,Badulla,Uva,Office,Monitor Stand,C03560,3,81790.35,1
T2024010000154,2024-01-28,2024,1,Ampara,Eastern,Electronics,Smart Display,C03869,8,277799.32,1
T2024010000155,2024-01-01,2024,1,Vavuniya,Northern,Outdoor,Camping Light,C03191,4,58103.9,1
T2024010000156,2024-01-19,2024,1,Ratnapura,Sabaragamuwa,Home,LED Lamp,C02174,9,152398.91,1
T2024010000157,2024-01-15,2024,1,Colombo,Western,Lifestyle,Desk Organizer,C04440,5,48045.89,1
T2024010000158,2024-01-05,2024,1,Puttalam,North Western,Lifestyle,Fitness Band,C01431,4,40608.24,1
T2024010000159,2024-01-14,2024,1,Kandy,Central,Office,Document Scanner,C04622,5,146587.03,1
T2024010000160,2024-01-02,2024,1,Nuwara Eliya,Central,Electronics,Power Hub,C03527,4,163020.39,1
T2024010000161,2024-01-25,2024,1,Colombo,Western,Home,LED Lamp,C02125,5,92625.11,1
T2024010000162,2024-01-18,2024,1,Jaffna,Northern,Lifestyle,Travel Kit,C04115,9,86414.48,1
T2024010000163,2024-01-01,2024,1,Colombo,Western,Outdoor,Camping Light,C04574,7,91080.65,1
T2024010000164,2024-01-04,2024,1,Vavuniya,Northern,Lifestyle,Desk Organizer,C03372,6,64110.38,1
T2024010000165,2024-01-14,2024,1,Anuradhapura,North Central,Office,Monitor Stand,C01722,12,289491.59,1
T2024010000166,2024-01-08,2024,1,Galle,Southern,Electronics,Wireless Router,C03782,5,157320.49,1
T2024010000167,2024-01-12,2024,1,Batticaloa,Eastern,Lifestyle,Travel Kit,C03863,10,103739.4,1
T2024010000168,2024-01-20,2024,1,Kandy,Central,Electronics,Sound Bar,C02422,4,155783.97,1
T2024010000169,2024-01-25,2024,1,Kalutara,Western,Outdoor,Portable Fan,C04801,8,107384.3,1
T2024010000170,2024-01-05,2024,1,Ampara,Eastern,Accessories,Power Adapter,C03590,6,24521.31,1
T2024020000171,2024-02-10,2024,2,Puttalam,North Western,Office,Monitor Stand,C01608,7,169597.39,1
T2024020000172,2024-02-15,2024,2,Anuradhapura,North Central,Electronics,Smart Display,C04150,8,343545.82,1
T2024020000173,2024-02-20,2024,2,Matara,Southern,Outdoor,Cooler Box,C03634,7,92759.03,1
T2024020000174,2024-02-17,2024,2,Matara,Southern,Outdoor,Foldable Chair,C01691,9,110314.49,1
T2024020000175,2024-02-12,2024,2,Kegalle,Sabaragamuwa,Lifestyle,Travel Kit,C03982,13,121752.96,1
T2024020000176,2024-02-11,2024,2,Trincomalee,Eastern,Electronics,Wireless Router,C01540,3,111445.39,1
T2024020000177,2024-02-03,2024,2,Kandy,Central,Outdoor,Cooler Box,C03731,8,102601.34,1
T2024020000178,2024-02-20,2024,2,Matale,Central,Office,Document Scanner,C02057,9,209173.91,1
T2024020000179,2024-02-21,2024,2,Galle,Southern,Outdoor,Cooler Box,C01766,9,129316.66,1
T2024020000180,2024-02-25,2024,2,Galle,Southern,Electronics,Sound Bar,C03800,7,237830.3,1
T2024020000181,2024-02-22,2024,2,Gampaha,Western,Home,Air Purifier,C01310,5,105759.91,1
T2024020000182,2024-02-24,2024,2,Mullaitivu,Northern,Electronics,Sound Bar,C02357,6,212557.26,1
T2024020000183,2024-02-18,2024,2,Kegalle,Sabaragamuwa,Office,Document Scanner,C02917,5,145311.33,1
T2024020000184,2024-02-25,2024,2,Monaragala,Uva,Electronics,Power Hub,C04783,5,165215.6,1
T2024020000185,2024-02-28,2024,2,Matara,Southern,Electronics,Sound Bar,C02134,5,184293.54,1
T2024020000186,2024-02-03,2024,2,Mannar,Northern,Electronics,Smart Display,C03336,10,341715.09,1
T2024020000187,2024-02-29,2024,2,Gampaha,Western,Lifestyle,Travel Kit,C04696,6,54862.96,1
T2024020000188,2024-02-12,2024,2,Galle,Southern,Home,Storage Set,C01669,4,71788.19,1
T2024020000189,2024-02-02,2024,2,Anuradhapura,North Central,Office,Office Chair,C02128,5,145873.28,1
T2024020000190,2024-02-01,2024,2,Puttalam,North Western,Lifestyle,Fitness Band,C01650,5,48852.83,1
T2024020000191,2024-02-25,2024,2,Ratnapura,Sabaragamuwa,Office,Document Scanner,C01911,5,132859.82,1
T2024020000192,2024-02-04,2024,2,Kandy,Central,Office,Document Scanner,C01515,11,281072.54,1
T2024020000193,2024-02-10,2024,2,Colombo,Western,Lifestyle,Travel Kit,C02177,6,61445.38,1
T2024020000194,2024-02-03,2024,2,Vavuniya,Northern,Electronics,Smart Display,C03955,14,508143.26,1
T2024020000195,2024-02-21,2024,2,Mannar,Northern,Home,Storage Set,C01357,6,109016.04,1
T2024020000196,2024-02-25,2024,2,Galle,Southern,Electronics,Sound Bar,C01850,8,305180.87,1
T2024020000197,2024-02-23,2024,2,Colombo,Western,Lifestyle,Travel Kit,C04807,7,65097.15,1
T2024020000198,2024-02-10,2024,2,Colombo,Western,Outdoor,Portable Fan,C01303,4,62835.87,1
T2024020000199,2024-02-09,2024,2,Matale,Central,Home,Storage Set,C04879,2,37408.8,1
T2024020000200,2024-02-04,2024,2,Galle,Southern,Outdoor,Foldable Chair,C03239,11,147815.63,1
T2024020000201,2024-02-06,2024,2,Kurunegala,North Western,Accessories,Mouse Pad,C03778,7,27303.74,1
T2024020000202,2024-02-14,2024,2,Kandy,Central,Electronics,Power Hub,C01647,8,290377.03,1
T2024020000203,2024-02-10,2024,2,Matale,Central,Electronics,Wireless Router,C03422,6,227043.46,1
T2024020000204,2024-02-20,2024,2,Trincomalee,Eastern,Home,Air Purifier,C03889,17,320169.27,1
T2024020000205,2024-02-01,2024,2,Colombo,Western,Office,Monitor Stand,C02311,4,111258.64,1
T2024020000206,2024-02-13,2024,2,Colombo,Western,Electronics,Wireless Router,C03967,14,467898.04,1
T2024020000207,2024-02-25,2024,2,Trincomalee,Eastern,Accessories,Power Adapter,C04637,3,11370.04,1
T2024020000208,2024-02-01,2024,2,Galle,Southern,Office,Office Chair,C01930,10,263807.55,1
T2024020000209,2024-02-07,2024,2,Monaragala,Uva,Electronics,Wireless Router,C04656,17,567562.39,1
T2024020000210,2024-02-06,2024,2,Kalutara,Western,Electronics,Smart Display,C04704,13,501926.07,1
T2024020000211,2024-02-23,2024,2,Anuradhapura,North Central,Accessories,Power Adapter,C03847,3,12457.61,1
T2024020000212,2024-02-17,2024,2,Polonnaruwa,North Central,Office,Office Chair,C03962,4,120383.4,1
T2024020000213,2024-02-15,2024,2,Kandy,Central,Lifestyle,Water Bottle,C04023,11,101294.63,1
T2024020000214,2024-02-17,2024,2,Badulla,Uva,Electronics,Power Hub,C04922,6,199480.39,1
T2024020000215,2024-02-15,2024,2,Colombo,Western,Accessories,USB Cable,C04687,9,34952.21,1
T2024020000216,2024-02-17,2024,2,Ampara,Eastern,Electronics,Sound Bar,C04545,13,432834.55,1
T2024020000217,2024-02-23,2024,2,Jaffna,Northern,Home,LED Lamp,C03644,4,75463.02,1
T2024020000218,2024-02-21,2024,2,Badulla,Uva,Outdoor,Foldable Chair,C02609,14,185195.69,1
T2024020000219,2024-02-06,2024,2,Batticaloa,Eastern,Electronics,Sound Bar,C02264,9,319911.72,1
T2024020000220,2024-02-03,2024,2,Nuwara Eliya,Central,Accessories,USB Cable,C01233,2,8045.77,1
T2024020000221,2024-02-16,2024,2,Kandy,Central,Electronics,Power Hub,C01249,13,469482.75,1
T2024020000222,2024-02-15,2024,2,Hambantota,Southern,Outdoor,Portable Fan,C03437,3,36956.43,1
T2024020000223,2024-02-11,2024,2,Matara,Southern,Lifestyle,Water Bottle,C02177,12,110678.31,1
T2024020000224,2024-02-11,2024,2,Kegalle,Sabaragamuwa,Electronics,Wireless Router,C01870,5,160710.79,1
T2024020000225,2024-02-28,2024,2,Kandy,Central,Electronics,Wireless Router,C04147,8,273173.91,1
T2024020000226,2024-02-25,2024,2,Anuradhapura,North Central,Accessories,Power Adapter,C02556,4,17861.05,1
T2024020000227,2024-02-13,2024,2,Jaffna,Northern,Home,Air Purifier,C01738,7,149681.63,1
T2024020000228,2024-02-20,2024,2,Vavuniya,Northern,Electronics,Wireless Router,C05055,12,434382.27,1
T2024020000229,2024-02-05,2024,2,Matale,Central,Electronics,Smart Display,C04531,12,467552.8,1
T2024020000230,2024-02-18,2024,2,Galle,Southern,Home,LED Lamp,C03970,5,86556.59,1
T2024020000231,2024-02-04,2024,2,Puttalam,North Western,Home,Air Purifier,C02055,6,122675.97,1
T2024020000232,2024-02-20,2024,2,Mannar,Northern,Home,LED Lamp,C02631,7,130797.22,1
T2024020000233,2024-02-05,2024,2,Colombo,Western,Office,Document Scanner,C04744,8,222749.82,1
T2024020000234,2024-02-19,2024,2,Ratnapura,Sabaragamuwa,Home,Storage Set,C03452,5,92097.23,1
T2024020000235,2024-02-12,2024,2,Hambantota,Southern,Lifestyle,Desk Organizer,C01137,5,43017.46,1
T2024020000236,2024-02-09,2024,2,Vavuniya,Northern,Outdoor,Camping Light,C04888,15,210115.93,1
T2024020000237,2024-02-17,2024,2,Vavuniya,Northern,Office,Document Scanner,C02397,8,216595.45,1
T2024020000238,2024-02-07,2024,2,Gampaha,Western,Office,Laser Printer,C01901,2,53796.66,1
T2024020000239,2024-02-23,2024,2,Matara,Southern,Electronics,Power Hub,C01511,4,133918.02,1
T2024020000240,2024-02-06,2024,2,Kegalle,Sabaragamuwa,Lifestyle,Desk Organizer,C03571,7,64203.08,1
T2024020000241,2024-02-07,2024,2,Galle,Southern,Outdoor,Foldable Chair,C04967,14,185388.95,1
T2024020000242,2024-02-23,2024,2,Kandy,Central,Accessories,Power Adapter,C03368,4,17193.87,1
T2024020000243,2024-02-04,2024,2,Hambantota,Southern,Lifestyle,Water Bottle,C03358,8,75932.51,1
T2024020000244,2024-02-02,2024,2,Anuradhapura,North Central,Accessories,Phone Stand,C03380,5,21533.35,1
T2024020000245,2024-02-07,2024,2,Ratnapura,Sabaragamuwa,Office,Document Scanner,C02753,11,267070.37,1
T2024020000246,2024-02-02,2024,2,Trincomalee,Eastern,Electronics,Sound Bar,C02987,9,327347.8,1
T2024020000247,2024-02-22,2024,2,Colombo,Western,Home,Storage Set,C01824,10,157975.23,1
T2024020000248,2024-02-21,2024,2,Kegalle,Sabaragamuwa,Electronics,Power Hub,C04912,4,157490.09,1
T2024020000249,2024-02-18,2024,2,Matale,Central,Electronics,Smart Display,C02903,10,420588.65,1
T2024020000250,2024-02-27,2024,2,Monaragala,Uva,Electronics,Sound Bar,C01298,6,214338.57,1
T2024020000251,2024-02-10,2024,2,Badulla,Uva,Electronics,Smart Display,C03745,7,259401.42,1
T2024020000252,2024-02-07,2024,2,Jaffna,Northern,Accessories,Mouse Pad,C03236,11,42694.02,1
T2024020000253,2024-02-26,2024,2,Ampara,Eastern,Office,Laser Printer,C03762,5,141267.62,1
T2024020000254,2024-02-17,2024,2,Kalutara,Western,Outdoor,Portable Fan,C04504,5,70161.02,1
T2024020000255,2024-02-01,2024,2,Kalutara,Western,Electronics,Wireless Router,C03033,5,168494.99,1
T2024020000256,2024-02-21,2024,2,Ratnapura,Sabaragamuwa,Home,Air Purifier,C03143,6,112010.74,1
T2024020000257,2024-02-21,2024,2,Hambantota,Southern,Electronics,Wireless Router,C01962,13,421221.06,1
